,date,is_holiday,holiday_type,holiday_description
101,2014-06-29,True,Event,Mundial de futbol Brasil: Octavos de Final
102,2014-06-30,True,Event,Mundial de futbol Brasil: Octavos de Final
103,2014-07-01,True,Event,Mundial de futbol Brasil: Octavos de Final
104,2014-07-03,True,Holiday,Cantonizacion de El Carmen | Fundacion de Santo Domingo
105,2014-07-04,True,Event,Mundial de futbol Brasil: Cuartos de Final
106,2014-07-05,True,Event,Mundial de futbol Brasil: Cuartos de Final
107,2014-07-08,True,Event,Mundial de futbol Brasil: Semifinales
108,2014-07-09,True,Event,Mundial de futbol Brasil: Semifinales
109,2014-07-12,True,Event,Mundial de futbol Brasil: Tercer y cuarto lugar
110,2014-07-13,True,Event,Mundial de futbol Brasil: Final
111,2014-07-23,True,Holiday,Cantonizacion de Cayambe
112,2014-07-24,True,Additional,Fundacion de Guayaquil-1
113,2014-07-25,True,Holiday,Fundacion de Guayaquil
114,2014-08-05,True,Holiday,Fundacion de Esmeraldas
115,2014-08-10,True,Holiday,Primer Grito de Independencia
116,2014-08-15,True,Holiday,Fundacion de Riobamba
117,2014-08-24,True,Holiday,Fundacion de Ambato
118,2014-09-28,True,Holiday,Fundacion de Ibarra
119,2014-10-07,True,Holiday,Cantonizacion de Quevedo
120,2014-10-09,True,Holiday,Independencia de Guayaquil
121,2014-10-10,True,Transfer,Traslado Independencia de Guayaquil
122,2014-11-02,True,Holiday,Dia de Difuntos
123,2014-11-03,True,Holiday,Independencia de Cuenca
124,2014-11-06,True,Holiday,Provincializacion de Santo Domingo
125,2014-11-07,True,Holiday,Provincializacion Santa Elena
126,2014-11-10,True,Holiday,Independencia de Guaranda
127,2014-11-11,True,Holiday,Independencia de Latacunga
128,2014-11-12,True,Holiday,Independencia de Ambato
129,2014-11-28,True,Event,Black Friday
130,2014-12-01,True,Event,Cyber Monday
131,2014-12-05,True,Additional,Fundacion de Quito-1
132,2014-12-06,True,Holiday,Fundacion de Quito
133,2014-12-08,True,Holiday,Fundacion de Loja
134,2014-12-20,True,Work Day,Recupero Puente Navidad
135,2014-12-21,True,Additional,Navidad-4
136,2014-12-22,True,Holiday | Additional,Cantonizacion de Salinas | Navidad-3
137,2014-12-23,True,Additional,Navidad-2
138,2014-12-24,True,Additional,Navidad-1
139,2014-12-25,True,Holiday,Navidad
140,2014-12-26,True,Bridge | Additional,Puente Navidad | Navidad+1
141,2014-12-31,True,Additional,Primer dia del ano-1
142,2015-01-01,True,Holiday,Primer dia del ano
143,2015-01-02,True,Bridge,Puente Primer dia del ano
144,2015-01-10,True,Work Day,Recupero Puente Primer dia del ano
145,2015-02-16,True,Holiday,Carnaval
146,2015-02-17,True,Holiday,Carnaval
147,2015-03-02,True,Holiday,Fundacion de Manta
148,2015-04-01,True,Holiday,Provincializacion de Cotopaxi
149,2015-04-03,True,Holiday,Viernes Santo
150,2015-04-12,True,Holiday,Fundacion de Cuenca
151,2015-04-14,True,Holiday,Cantonizacion de Libertad
152,2015-04-21,True,Holiday,Cantonizacion de Riobamba
153,2015-05-01,True,Holiday,Dia del Trabajo
154,2015-05-09,True,Additional,Dia de la Madre-1
155,2015-05-10,True,Event,Dia de la Madre
156,2015-05-12,True,Holiday,Cantonizacion del Puyo
157,2015-05-24,True,Holiday,Batalla de Pichincha
158,2015-06-23,True,Holiday,Cantonizacion de Guaranda
159,2015-06-25,True,Holiday,Fundacion de Machala | Provincializacion de Imbabura | Cantonizacion de Latacunga
160,2015-07-03,True,Holiday,Cantonizacion de El Carmen | Fundacion de Santo Domingo
161,2015-07-23,True,Holiday,Cantonizacion de Cayambe
162,2015-07-24,True,Holiday,Fundacion de Guayaquil-1
163,2015-07-25,True,Holiday,Fundacion de Guayaquil
164,2015-08-05,True,Holiday,Fundacion de Esmeraldas
165,2015-08-10,True,Holiday,Primer Grito de Independencia
166,2015-08-15,True,Holiday,Fundacion de Riobamba
167,2015-08-24,True,Holiday,Fundacion de Ambato
168,2015-09-28,True,Holiday,Fundacion de Ibarra
169,2015-10-07,True,Holiday,Cantonizacion de Quevedo
170,2015-10-09,True,Holiday,Independencia de Guayaquil
171,2015-11-02,True,Holiday,Dia de Difuntos
172,2015-11-03,True,Holiday,Independencia de Cuenca
173,2015-11-06,True,Holiday,Provincializacion de Santo Domingo
174,2015-11-07,True,Holiday,Provincializacion Santa Elena
175,2015-11-10,True,Holiday,Independencia de Guaranda
176,2015-11-11,True,Holiday,Independencia de Latacunga
177,2015-11-12,True,Holiday,Independencia de Ambato
178,2015-11-27,True,Event,Black Friday
179,2015-11-30,True,Event,Cyber Monday
180,2015-12-05,True,Additional,Fundacion de Quito-1
181,2015-12-06,True,Holiday,Fundacion de Quito
182,2015-12-08,True,Holiday,Fundacion de Loja
183,2015-12-21,True,Additional,Navidad-4
184,2015-12-22,True,Additional | Holiday,Navidad-3 | Cantonizacion de Salinas
185,2015-12-23,True,Additional,Navidad-2
186,2015-12-24,True,Additional,Navidad-1
187,2015-12-25,True,Holiday,Navidad
188,2015-12-26,True,Additional,Navidad+1
189,2015-12-31,True,Additional,Primer dia del ano-1
190,2016-01-01,True,Holiday,Primer dia del ano
191,2016-02-08,True,Holiday,Carnaval
192,2016-02-09,True,Holiday,Carnaval
193,2016-03-02,True,Holiday,Fundacion de Manta
194,2016-03-25,True,Holiday,Viernes Santo
195,2016-04-01,True,Holiday,Provincializacion de Cotopaxi
196,2016-04-12,True,Holiday,Fundacion de Cuenca
197,2016-04-14,True,Holiday,Cantonizacion de Libertad
198,2016-04-16,True,Event,Terremoto Manabi
199,2016-04-17,True,Event,Terremoto Manabi+1
200,2016-04-18,True,Event,Terremoto Manabi+2
201,2016-04-19,True,Event,Terremoto Manabi+3
202,2016-04-20,True,Event,Terremoto Manabi+4
203,2016-04-21,True,Holiday | Event,Cantonizacion de Riobamba | Terremoto Manabi+5
204,2016-04-22,True,Event,Terremoto Manabi+6
205,2016-04-23,True,Event,Terremoto Manabi+7
206,2016-04-24,True,Event,Terremoto Manabi+8
207,2016-04-25,True,Event,Terremoto Manabi+9
208,2016-04-26,True,Event,Terremoto Manabi+10
209,2016-04-27,True,Event,Terremoto Manabi+11
210,2016-04-28,True,Event,Terremoto Manabi+12
211,2016-04-29,True,Event,Terremoto Manabi+13
212,2016-04-30,True,Event,Terremoto Manabi+14
213,2016-05-01,True,Holiday | Event,Dia del Trabajo | Terremoto Manabi+15
214,2016-05-02,True,Event,Terremoto Manabi+16
215,2016-05-03,True,Event,Terremoto Manabi+17
216,2016-05-04,True,Event,Terremoto Manabi+18
217,2016-05-05,True,Event,Terremoto Manabi+19
218,2016-05-06,True,Event,Terremoto Manabi+20
219,2016-05-07,True,Additional | Event,Dia de la Madre-1 | Terremoto Manabi+21
220,2016-05-08,True,Event,Terremoto Manabi+22 | Dia de la Madre
221,2016-05-09,True,Event,Terremoto Manabi+23
222,2016-05-10,True,Event,Terremoto Manabi+24
223,2016-05-11,True,Event,Terremoto Manabi+25
224,2016-05-12,True,Holiday | Event,Cantonizacion del Puyo | Terremoto Manabi+26
225,2016-05-13,True,Event,Terremoto Manabi+27
226,2016-05-14,True,Event,Terremoto Manabi+28
227,2016-05-15,True,Event,Terremoto Manabi+29
228,2016-05-16,True,Event,Terremoto Manabi+30
229,2016-05-24,True,Holiday,Batalla de Pichincha
230,2016-05-27,True,Transfer,Traslado Batalla de Pichincha
231,2016-06-23,True,Holiday,Cantonizacion de Guaranda
232,2016-06-25,True,Holiday,Fundacion de Machala | Provincializacion de Imbabura | Cantonizacion de Latacunga
233,2016-07-03,True,Holiday,Cantonizacion de El Carmen | Fundacion de Santo Domingo
234,2016-07-23,True,Holiday,Cantonizacion de Cayambe
235,2016-07-24,True,Additional | Transfer,Fundacion de Guayaquil-1 | Traslado Fundacion de Guayaquil
236,2016-07-25,True,Holiday,Fundacion de Guayaquil
237,2016-08-05,True,Holiday,Fundacion de Esmeraldas
238,2016-08-10,True,Holiday,Primer Grito de Independencia
239,2016-08-12,True,Transfer,Traslado Primer Grito de Independencia
240,2016-08-15,True,Holiday,Fundacion de Riobamba
241,2016-08-24,True,Holiday,Fundacion de Ambato
242,2016-09-28,True,Holiday,Fundacion de Ibarra
243,2016-10-07,True,Holiday,Cantonizacion de Quevedo
244,2016-10-09,True,Holiday,Independencia de Guayaquil
245,2016-11-02,True,Holiday,Dia de Difuntos
246,2016-11-03,True,Holiday,Independencia de Cuenca
247,2016-11-04,True,Bridge,Puente Dia de Difuntos
248,2016-11-06,True,Holiday,Provincializacion de Santo Domingo
249,2016-11-07,True,Holiday,Provincializacion Santa Elena
250,2016-11-10,True,Holiday,Independencia de Guaranda
251,2016-11-11,True,Holiday,Independencia de Latacunga
252,2016-11-12,True,Holiday | Work Day,Independencia de Ambato | Recupero Puente Dia de Difuntos
253,2016-11-25,True,Event,Black Friday
254,2016-11-28,True,Event,Cyber Monday
255,2016-12-05,True,Additional,Fundacion de Quito-1
256,2016-12-06,True,Holiday,Fundacion de Quito
257,2016-12-08,True,Holiday,Fundacion de Loja
258,2016-12-21,True,Additional,Navidad-4
259,2016-12-22,True,Additional | Holiday,Navidad-3 | Cantonizacion de Salinas
260,2016-12-23,True,Additional,Navidad-2
261,2016-12-24,True,Additional,Navidad-1
262,2016-12-25,True,Holiday,Navidad
263,2016-12-26,True,Additional,Navidad+1
264,2016-12-31,True,Additional,Primer dia del ano-1
265,2017-01-01,True,Holiday,Primer dia del ano
266,2017-01-02,True,Transfer,Traslado Primer dia del ano
267,2017-02-27,True,Holiday,Carnaval
268,2017-02-28,True,Holiday,Carnaval
269,2017-03-02,True,Holiday,Fundacion de Manta
270,2017-04-01,True,Holiday,Provincializacion de Cotopaxi
271,2017-04-12,True,Holiday,Fundacion de Cuenca
272,2017-04-13,True,Transfer,Fundacion de Cuenca
273,2017-04-14,True,Holiday,Cantonizacion de Libertad | Viernes Santo
274,2017-04-21,True,Holiday,Cantonizacion de Riobamba
275,2017-05-01,True,Holiday,Dia del Trabajo
276,2017-05-12,True,Holiday,Cantonizacion del Puyo
277,2017-05-13,True,Additional,Dia de la Madre-1
278,2017-05-14,True,Event,Dia de la Madre
279,2017-05-24,True,Holiday,Batalla de Pichincha
280,2017-05-26,True,Transfer,Traslado Batalla de Pichincha
281,2017-06-23,True,Holiday,Cantonizacion de Guaranda
282,2017-06-25,True,Holiday,Provincializacion de Imbabura | Cantonizacion de Latacunga | Fundacion de Machala
283,2017-07-03,True,Holiday,Cantonizacion de El Carmen | Fundacion de Santo Domingo
284,2017-07-23,True,Holiday,Cantonizacion de Cayambe
285,2017-07-24,True,Additional,Fundacion de Guayaquil-1
286,2017-07-25,True,Additional,Fundacion de Guayaquil
287,2017-08-05,True,Holiday,Fundacion de Esmeraldas
288,2017-08-10,True,Holiday,Primer Grito de Independencia
289,2017-08-11,True,Transfer,Traslado Primer Grito de Independencia
290,2017-08-15,True,Holiday,Fundacion de Riobamba
291,2017-08-24,True,Holiday,Fundacion de Ambato
292,2017-09-28,True,Holiday,Fundacion de Ibarra
293,2017-09-29,True,Transfer,Fundacion de Ibarra
294,2017-10-07,True,Holiday,Cantonizacion de Quevedo
295,2017-10-09,True,Holiday,Independencia de Guayaquil
296,2017-11-02,True,Holiday,Dia de Difuntos
297,2017-11-03,True,Holiday,Independencia de Cuenca
298,2017-11-06,True,Holiday,Provincializacion de Santo Domingo
299,2017-11-07,True,Holiday,Provincializacion Santa Elena
300,2017-11-10,True,Holiday,Independencia de Guaranda
301,2017-11-11,True,Holiday,Independencia de Latacunga
302,2017-11-12,True,Holiday,Independencia de Ambato
303,2017-12-05,True,Additional,Fundacion de Quito-1
304,2017-12-06,True,Holiday,Fundacion de Quito
305,2017-12-08,True,Holiday | Transfer,Fundacion de Loja | Traslado Fundacion de Quito
306,2017-12-21,True,Additional,Navidad-4
307,2017-12-22,True,Holiday | Additional,Cantonizacion de Salinas | Navidad-3
308,2017-12-23,True,Additional,Navidad-2
309,2017-12-24,True,Additional,Navidad-1
310,2017-12-25,True,Holiday,Navidad
311,2017-12-26,True,Additional,Navidad+1
